model,group,case,expected,predicted,correct,status,truncated,brier,mae,p_true,score,strict_score_range_violation,error
gemma,choice2,choice2-00,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-01,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-02,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-03,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-04,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-05,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-06,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-07,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-08,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-09,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-10,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-11,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-12,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-13,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-14,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-15,false,false,True,PASS,False,,,,,False,
gemma,choice2,choice2-16,true,false,False,PASS,False,,,,,False,
gemma,choice2,choice2-17,false,true,False,PASS,False,,,,,False,
gemma,choice2,choice2-18,true,true,True,PASS,False,,,,,False,
gemma,choice2,choice2-19,false,false,True,PASS,False,,,,,False,
gemma,choice4,choice4-billing-0,billing,billing,True,PASS,False,,,,,False,
gemma,choice4,choice4-billing-1,billing,billing,True,PASS,False,,,,,False,
gemma,choice4,choice4-billing-2,billing,billing,True,PASS,False,,,,,False,
gemma,choice4,choice4-billing-3,billing,billing,True,PASS,False,,,,,False,
gemma,choice4,choice4-billing-4,billing,billing,True,PASS,False,,,,,False,
gemma,choice4,choice4-technical-0,technical,technical,True,PASS,False,,,,,False,
gemma,choice4,choice4-technical-1,technical,technical,True,PASS,False,,,,,False,
gemma,choice4,choice4-technical-2,technical,technical,True,PASS,False,,,,,False,
gemma,choice4,choice4-technical-3,technical,technical,True,PASS,False,,,,,False,
gemma,choice4,choice4-technical-4,technical,technical,True,PASS,False,,,,,False,
gemma,choice4,choice4-sales-0,sales,sales,True,PASS,False,,,,,False,
gemma,choice4,choice4-sales-1,sales,sales,True,PASS,False,,,,,False,
gemma,choice4,choice4-sales-2,sales,sales,True,PASS,False,,,,,False,
gemma,choice4,choice4-sales-3,sales,sales,True,PASS,False,,,,,False,
gemma,choice4,choice4-sales-4,sales,sales,True,PASS,False,,,,,False,
gemma,choice4,choice4-account-0,account,account,True,PASS,False,,,,,False,
gemma,choice4,choice4-account-1,account,account,True,PASS,False,,,,,False,
gemma,choice4,choice4-account-2,account,account,True,PASS,False,,,,,False,
gemma,choice4,choice4-account-3,account,account,True,PASS,False,,,,,False,
gemma,choice4,choice4-account-4,account,account,True,PASS,False,,,,,False,
gemma,choice8,choice8-refund-0,refund,refund,True,PASS,False,,,,,False,
gemma,choice8,choice8-refund-1,refund,refund,True,PASS,False,,,,,False,
gemma,choice8,choice8-repair-0,repair,repair,True,PASS,False,,,,,False,
gemma,choice8,choice8-repair-1,repair,repair,True,PASS,False,,,,,False,
gemma,choice8,choice8-quote-0,quote,quote,True,PASS,False,,,,,False,
gemma,choice8,choice8-quote-1,quote,quote,True,PASS,False,,,,,False,
gemma,choice8,choice8-password-0,password,password,True,PASS,False,,,,,False,
gemma,choice8,choice8-password-1,password,password,True,PASS,False,,,,,False,
gemma,choice8,choice8-cancel-0,cancel,cancel,True,PASS,False,,,,,False,
gemma,choice8,choice8-cancel-1,cancel,cancel,True,PASS,False,,,,,False,
gemma,choice8,choice8-shipping-0,shipping,shipping,True,PASS,False,,,,,False,
