level,case,position,prompt_tokens,state_characters,expected,choice,correct,execution_status,seconds,input_sha256,trial,latency_scope
short,date_supported,begin,129,41,supported,supported,True,PASS,0.07165972399525344,305033f710a43c87db58e5cee36f67c32a9e964687483e85721bd8beed3ed0e5,curve,initial isolated process
short,delivery_refuted,middle,133,52,refuted,refuted,True,PASS,0.07332455800496973,f306e82f280cd7a559d7889197784bd121d2a70848a4d3a717244515cce0ee82,curve,initial isolated process
short,budget_insufficient,end,120,35,insufficient,insufficient,True,PASS,0.07165513100335374,afdf3855cff0969bf5a780d2ca92070ed1182a74b8665c05e2d11adaec1320ed,curve,initial isolated process
short,rule_supported,middle,140,74,supported,supported,True,PASS,0.07276104198535904,5017713d1e18c69348e30ae89fe40e6567f3bf3485e346ee0062c028a6decc7d,curve,initial isolated process
short,arithmetic_refuted,end,137,50,refuted,supported,False,PASS,0.0717869589861948,ace6efd68a2b52eeb626e9884ec52b96c21cf1eef1a8a803e09f5f104022838b,curve,initial isolated process
short,draft_insufficient,begin,141,59,insufficient,refuted,False,PASS,0.07040688299457543,e47eb5a70a46d8a375936bbbc94ba07fec6bbd756548e4258a27148fbf909898,curve,initial isolated process
short,privacy_supported,end,126,49,supported,supported,True,PASS,0.06817619799403474,b9110507cbe144fadfb4cbb885369904e67d3b7de7f05a4d7a63dc58686b80b9,curve,initial isolated process
short,revision_refuted,begin,139,63,refuted,refuted,True,PASS,0.07062039099400863,939aeebc8f78aa3ed989e928595631b942db337d1a0a69d89f3068566da0843e,curve,initial isolated process
short,approver_insufficient,middle,118,37,insufficient,insufficient,True,PASS,0.06682527498924173,bda9a84715fff0692efa1d3ce402f40d8d838bfd175370dd8d792812286c2515,curve,initial isolated process
8k,date_supported,begin,8160,11217,supported,supported,True,PASS,1.530765308008995,c1467047520ba6c63d4819a2440b03cd3c13c19c17d1c1e52837ed28df6a48a4,curve,initial isolated process
8k,delivery_refuted,middle,8164,11228,refuted,refuted,True,PASS,1.5395240889920387,6de9f2deccd698dc6b56f1ef7c43a706c91d58ecc71aef2ae383c09813b3d2ab,curve,initial isolated process
8k,budget_insufficient,end,8151,11211,insufficient,insufficient,True,PASS,1.5338272640074138,6d73b6ef108430adb5c23b0cd32078e86e3e682d3c7c8c64c72da9ae72f8db1d,curve,initial isolated process
8k,rule_supported,middle,8171,11250,supported,supported,True,PASS,1.5337948279920965,d2f3754bf55d46538b1a674f2b4d3db07b056af25a9e9ba6816bbd03834692c2,curve,initial isolated process
